Statistic,Per 90,Percentile
Non-Penalty Goals,0.14,27
npxG,0.20,52
Shots Total,2.23,61
Assists,0.19,53
xA,0.28,90
npxG+xA,0.48,77
Shot-Creating Actions,4.72,93
,,
Passes Attempted,55.24,93
Pass Completion %,82.0%,91
Progressive Passes,5.38,92
Progressive Carries,7.82,81
Dribbles Completed,1.59,47
Touches (Att Pen),4.50,65
Progressive Passes Rec,7.33,71
,,
Pressures,20.86,88
Tackles,2.11,91
Interceptions,1.07,79
Blocks,1.28,59
Clearances,0.31,24
Aerials won,0.57,40
