Statistic,Per 90,Percentile
Non-Penalty Goals,0.09,70
npxG,0.08,66
Shots Total,1.13,68
Assists,0.27,97
xA,0.18,95
npxG+xA,0.26,87
Shot-Creating Actions,2.82,86
,,
Passes Attempted,56.41,64
Pass Completion %,81.8%,35
Progressive Passes,6.48,92
Progressive Carries,6.05,83
Dribbles Completed,1.08,71
Touches (Att Pen),2.05,84
Progressive Passes Rec,4.49,91
,,
Pressures,16.86,36
Tackles,2.08,44
Interceptions,0.95,15
Blocks,1.38,35
Clearances,0.43,3
Aerials won,0.93,39
