Statistic,Per 90,Percentile
Non-Penalty Goals,0.11,76
npxG,0.14,90
Shots Total,0.92,49
Assists,0.11,71
xA,0.15,88
npxG+xA,0.29,91
Shot-Creating Actions,2.86,87
,,
Passes Attempted,63.29,80
Pass Completion %,87.8%,81
Progressive Passes,4.58,63
Progressive Carries,6.58,88
Dribbles Completed,1.09,72
Touches (Att Pen),3.15,94
Progressive Passes Rec,5.81,97
,,
Pressures,24.93,94
Tackles,1.89,33
Interceptions,1.09,26
Blocks,2.29,93
Clearances,0.17,1
Aerials won,0.23,2
