Statistic,Per 90,Percentile
Non-Penalty Goals,1.01,98
npxG,0.80,99
Shots Total,3.57,91
Assists,0.29,90
xA,0.22,88
npxG+xA,1.02,99
Shot-Creating Actions,2.56,65
,,
Passes Attempted,19.31,25
Pass Completion %,73.8%,56
Progressive Passes,1.39,48
Progressive Carries,3.12,60
Dribbles Completed,0.96,47
Touches (Att Pen),7.39,96
Progressive Passes Rec,8.24,64
,,
Pressures,12.00,26
Tackles,0.32,9
Interceptions,0.29,37
Blocks,0.61,29
Clearances,1.09,89
Aerials won,1.63,44
