Statistic,Per 90,Percentile
Non-Penalty Goals,0.03,33
npxG,0.04,30
Shots Total,0.40,11
Assists,0.10,66
xA,0.09,63
npxG+xA,0.12,43
Shot-Creating Actions,2.32,71
,,
Passes Attempted,59.90,72
Pass Completion %,85.7%,65
Progressive Passes,4.71,68
Progressive Carries,5.21,76
Dribbles Completed,1.75,93
Touches (Att Pen),0.84,35
Progressive Passes Rec,1.68,47
,,
Pressures,19.91,70
Tackles,3.43,94
Interceptions,2.42,96
Blocks,2.42,96
Clearances,1.45,51
Aerials won,0.87,36
