Statistic,Per 90,Percentile
Non-Penalty Goals,0.25,64
npxG,0.41,96
Shots Total,3.27,95
Assists,0.29,82
xA,0.34,97
npxG+xA,0.76,99
Shot-Creating Actions,6.32,99
,,
Passes Attempted,57.83,96
Pass Completion %,76.6%,56
Progressive Passes,7.08,99
Progressive Carries,12.27,98
Dribbles Completed,5.01,99
Touches (Att Pen),7.30,95
Progressive Passes Rec,10.24,97
,,
Pressures,15.21,45
Tackles,1.16,39
Interceptions,0.58,26
Blocks,0.54,3
Clearances,0.00,1
Aerials won,0.29,12
