Statistic,Per 90,Percentile
Non-Penalty Goals,0.00,17
npxG,0.04,46
Shots Total,0.32,24
Assists,0.05,86
xA,0.01,40
npxG+xA,0.04,28
Shot-Creating Actions,0.91,89
,,
Passes Attempted,66.89,84
Pass Completion %,90.7%,85
Progressive Passes,3.47,76
Progressive Carries,2.78,53
Dribbles Completed,0.16,32
Touches (Att Pen),0.64,33
Progressive Passes Rec,0.16,49
,,
Pressures,7.26,23
Tackles,1.07,16
Interceptions,1.17,22
Blocks,1.71,55
Clearances,4.54,35
Aerials won,2.46,47
