Statistic,Per 90,Percentile
Non-Penalty Goals,0.68,93
npxG,0.62,95
Shots Total,4.74,99
Assists,0.10,37
xA,0.10,38
npxG+xA,0.73,92
Shot-Creating Actions,3.61,91
,,
Passes Attempted,34.64,85
Pass Completion %,79.6%,89
Progressive Passes,2.37,78
Progressive Carries,7.86,97
Dribbles Completed,1.61,81
Touches (Att Pen),6.83,89
Progressive Passes Rec,9.28,85
,,
Pressures,6.27,1
Tackles,0.24,4
Interceptions,0.29,36
Blocks,0.44,10
Clearances,0.59,44
Aerials won,0.83,16
