Statistic,Per 90,Percentile
Non-Penalty Goals,0.40,91
npxG,0.31,85
Shots Total,2.56,76
Assists,0.27,78
xA,0.24,82
npxG+xA,0.55,86
Shot-Creating Actions,3.47,59
,,
Passes Attempted,48.28,85
Pass Completion %,81.0%,86
Progressive Passes,2.79,39
Progressive Carries,7.60,79
Dribbles Completed,1.82,55
Touches (Att Pen),7.40,96
Progressive Passes Rec,8.58,86
,,
Pressures,17.80,68
Tackles,1.48,62
Interceptions,1.04,75
Blocks,1.11,41
Clearances,0.61,60
Aerials won,0.71,52
