Statistic,Per 90,Percentile
Non-Penalty Goals,1.08,99
npxG,0.88,99
Shots Total,4.42,98
Assists,0.15,57
xA,0.16,69
npxG+xA,1.04,99
Shot-Creating Actions,2.91,75
,,
Passes Attempted,24.77,56
Pass Completion %,76.5%,76
Progressive Passes,1.90,65
Progressive Carries,3.73,75
Dribbles Completed,0.95,46
Touches (Att Pen),8.10,97
Progressive Passes Rec,8.69,75
,,
Pressures,11.75,23
Tackles,0.59,39
Interceptions,0.26,27
Blocks,0.31,2
Clearances,0.33,19
Aerials won,2.13,58
