Statistic,Per 90,Percentile
Non-Penalty Goals,0.14,84
npxG,0.09,74
Shots Total,1.48,84
Assists,0.17,85
xA,0.15,89
npxG+xA,0.25,86
Shot-Creating Actions,3.21,93
,,
Passes Attempted,80.15,96
Pass Completion %,87.5%,79
Progressive Passes,7.07,95
Progressive Carries,7.97,95
Dribbles Completed,1.58,89
Touches (Att Pen),2.12,85
Progressive Passes Rec,3.49,86
,,
Pressures,12.73,7
Tackles,1.30,9
Interceptions,1.70,70
Blocks,0.71,1
Clearances,0.47,4
Aerials won,0.68,24
