Statistic,Per 90,Percentile
Non-Penalty Goals,0.26,98
npxG,0.31,99
Shots Total,3.42,99
Assists,0.49,99
xA,0.43,99
npxG+xA,0.74,99
Shot-Creating Actions,5.28,99
,,
Passes Attempted,60.78,75
Pass Completion %,75.6%,8
Progressive Passes,7.04,94
Progressive Carries,8.64,97
Dribbles Completed,1.76,94
Touches (Att Pen),4.50,98
Progressive Passes Rec,7.43,99
,,
Pressures,18.55,55
Tackles,1.30,10
Interceptions,0.72,4
Blocks,1.40,37
Clearances,0.42,3
Aerials won,0.36,5
