Statistic,Per 90,Percentile
Non-Penalty Goals,0.03,41
npxG,0.07,81
Shots Total,0.56,64
Assists,0.00,29
xA,0.03,82
npxG+xA,0.10,87
Shot-Creating Actions,0.65,66
,,
Passes Attempted,64.53,78
Pass Completion %,89.8%,79
Progressive Passes,3.44,75
Progressive Carries,2.15,36
Dribbles Completed,0.18,38
Touches (Att Pen),0.82,54
Progressive Passes Rec,0.26,73
,,
Pressures,5.91,8
Tackles,0.97,10
Interceptions,1.12,18
Blocks,1.62,47
Clearances,3.44,8
Aerials won,1.59,12
