Statistic,Per 90,Percentile
Non-Penalty Goals,0.30,74
npxG,0.40,95
Shots Total,2.35,67
Assists,0.22,66
xA,0.17,54
npxG+xA,0.57,88
Shot-Creating Actions,3.11,46
,,
Passes Attempted,38.06,51
Pass Completion %,85.4%,97
Progressive Passes,2.40,26
Progressive Carries,7.88,83
Dribbles Completed,2.32,76
Touches (Att Pen),8.46,99
Progressive Passes Rec,9.14,94
,,
Pressures,10.39,5
Tackles,0.74,9
Interceptions,0.44,9
Blocks,0.57,5
Clearances,0.05,1
Aerials won,0.22,8
