Statistic,Per 90,Percentile
Non-Penalty Goals,0.02,33
npxG,0.07,85
Shots Total,0.42,41
Assists,0.02,59
xA,0.03,76
npxG+xA,0.10,88
Shot-Creating Actions,0.85,84
,,
Passes Attempted,83.21,99
Pass Completion %,94.0%,98
Progressive Passes,4.01,84
Progressive Carries,7.19,99
Dribbles Completed,0.08,13
Touches (Att Pen),0.95,66
Progressive Passes Rec,0.32,79
,,
Pressures,5.80,7
Tackles,1.17,25
Interceptions,1.01,12
Blocks,1.33,19
Clearances,3.50,9
Aerials won,1.91,20
