Statistic,Per 90,Percentile
Non-Penalty Goals,0.37,86
npxG,0.33,89
Shots Total,2.95,90
Assists,0.25,74
xA,0.25,84
npxG+xA,0.59,90
Shot-Creating Actions,4.11,80
,,
Passes Attempted,49.73,87
Pass Completion %,82.5%,94
Progressive Passes,3.93,74
Progressive Carries,9.58,94
Dribbles Completed,1.84,56
Touches (Att Pen),7.89,97
Progressive Passes Rec,8.35,84
,,
Pressures,14.15,34
Tackles,1.26,46
Interceptions,0.52,20
Blocks,1.04,35
Clearances,0.18,10
Aerials won,0.61,44
