Statistic,Per 90,Percentile
Non-Penalty Goals,0.68,93
npxG,0.64,97
Shots Total,3.44,89
Assists,0.30,91
xA,0.21,87
npxG+xA,0.86,97
Shot-Creating Actions,4.04,96
,,
Passes Attempted,36.50,91
Pass Completion %,78.4%,84
Progressive Passes,2.40,78
Progressive Carries,8.97,99
Dribbles Completed,3.15,98
Touches (Att Pen),9.29,99
Progressive Passes Rec,11.25,98
,,
Pressures,7.83,5
Tackles,0.41,16
Interceptions,0.37,52
Blocks,0.32,3
Clearances,0.41,25
Aerials won,0.37,4
