Statistic,Per 90,Percentile
Non-Penalty Goals,0.71,96
npxG,0.54,92
Shots Total,5.50,99
Assists,0.27,88
xA,0.34,99
npxG+xA,0.88,98
Shot-Creating Actions,7.30,99
,,
Passes Attempted,71.87,99
Pass Completion %,83.0%,96
Progressive Passes,9.75,99
Progressive Carries,15.60,99
Dribbles Completed,4.52,99
Touches (Att Pen),7.05,92
Progressive Passes Rec,8.18,63
,,
Pressures,9.16,7
Tackles,0.71,49
Interceptions,0.22,18
Blocks,0.32,3
Clearances,0.00,1
Aerials won,0.29,2
