Statistic,Per 90,Percentile
Non-Penalty Goals,0.33,80
npxG,0.26,72
Shots Total,3.27,95
Assists,0.35,93
xA,0.36,98
npxG+xA,0.62,93
Shot-Creating Actions,4.82,94
,,
Passes Attempted,63.24,99
Pass Completion %,74.2%,39
Progressive Passes,6.12,97
Progressive Carries,6.29,59
Dribbles Completed,0.74,6
Touches (Att Pen),4.11,58
Progressive Passes Rec,8.29,84
,,
Pressures,21.18,91
Tackles,1.52,64
Interceptions,0.65,33
Blocks,0.99,28
Clearances,0.84,79
Aerials won,0.52,34
