Statistic,Per 90,Percentile
Non-Penalty Goals,0.74,98
npxG,0.49,84
Shots Total,3.76,95
Assists,0.32,95
xA,0.24,94
npxG+xA,0.73,93
Shot-Creating Actions,3.57,90
,,
Passes Attempted,40.18,95
Pass Completion %,84.3%,98
Progressive Passes,3.00,88
Progressive Carries,5.47,87
Dribbles Completed,1.14,61
Touches (Att Pen),7.36,95
Progressive Passes Rec,8.27,65
,,
Pressures,9.24,8
Tackles,0.46,22
Interceptions,0.40,58
Blocks,0.44,11
Clearances,0.44,29
Aerials won,0.89,19
