Statistic,Per 90,Percentile
Non-Penalty Goals,0.02,36
npxG,0.03,38
Shots Total,0.37,32
Assists,0.10,98
xA,0.10,99
npxG+xA,0.14,97
Shot-Creating Actions,1.73,99
,,
Passes Attempted,76.87,95
Pass Completion %,85.7%,44
Progressive Passes,4.60,92
Progressive Carries,4.46,84
Dribbles Completed,0.37,76
Touches (Att Pen),1.63,97
Progressive Passes Rec,1.61,99
,,
Pressures,14.78,96
Tackles,2.39,90
Interceptions,1.46,49
Blocks,1.92,73
Clearances,3.82,14
Aerials won,2.39,45
