Statistic,Per 90,Percentile
Non-Penalty Goals,0.00,13
npxG,0.00,1
Shots Total,0.16,1
Assists,0.03,21
xA,0.08,56
npxG+xA,0.08,21
Shot-Creating Actions,1.99,57
,,
Passes Attempted,74.00,91
Pass Completion %,89.6%,90
Progressive Passes,4.98,73
Progressive Carries,4.17,54
Dribbles Completed,0.68,39
Touches (Att Pen),0.45,11
Progressive Passes Rec,0.92,14
,,
Pressures,20.43,75
Tackles,2.57,67
Interceptions,2.23,94
Blocks,1.91,77
Clearances,1.15,34
Aerials won,0.73,28
