Statistic,Per 90,Percentile
Non-Penalty Goals,0.55,98
npxG,0.51,98
Shots Total,3.33,96
Assists,0.19,52
xA,0.18,60
npxG+xA,0.69,97
Shot-Creating Actions,3.24,51
,,
Passes Attempted,34.83,36
Pass Completion %,81.3%,89
Progressive Passes,3.71,68
Progressive Carries,5.85,48
Dribbles Completed,1.43,38
Touches (Att Pen),8.80,99
Progressive Passes Rec,11.43,98
,,
Pressures,15.84,49
Tackles,0.59,3
Interceptions,0.36,3
Blocks,0.53,3
Clearances,0.32,27
Aerials won,0.55,37
