Statistic,Per 90,Percentile
Non-Penalty Goals,0.54,84
npxG,0.53,89
Shots Total,2.79,72
Assists,0.26,85
xA,0.25,95
npxG+xA,0.78,95
Shot-Creating Actions,3.45,87
,,
Passes Attempted,22.12,41
Pass Completion %,72.1%,47
Progressive Passes,2.03,73
Progressive Carries,3.43,65
Dribbles Completed,1.21,63
Touches (Att Pen),7.38,95
Progressive Passes Rec,11.19,97
,,
Pressures,8.18,5
Tackles,0.28,5
Interceptions,0.09,3
Blocks,0.54,22
Clearances,1.04,86
Aerials won,1.51,39
