Statistic,Per 90,Percentile
Non-Penalty Goals,0.44,73
npxG,0.40,71
Shots Total,3.05,81
Assists,0.31,95
xA,0.24,93
npxG+xA,0.64,82
Shot-Creating Actions,2.74,69
,,
Passes Attempted,37.66,91
Pass Completion %,69.7%,31
Progressive Passes,4.22,97
Progressive Carries,4.76,84
Dribbles Completed,2.43,96
Touches (Att Pen),5.72,70
Progressive Passes Rec,8.00,60
,,
Pressures,10.95,16
Tackles,0.67,45
Interceptions,0.65,87
Blocks,0.88,63
Clearances,0.72,61
Aerials won,2.15,58
