Statistic,Per 90,Percentile
Non-Penalty Goals,0.46,76
npxG,0.53,90
Shots Total,3.86,96
Assists,0.19,69
xA,0.14,65
npxG+xA,0.68,86
Shot-Creating Actions,2.79,69
,,
Passes Attempted,19.28,25
Pass Completion %,72.2%,48
Progressive Passes,1.90,66
Progressive Carries,2.44,40
Dribbles Completed,1.13,59
Touches (Att Pen),6.97,91
Progressive Passes Rec,8.47,69
,,
Pressures,16.71,74
Tackles,0.72,50
Interceptions,1.15,99
Blocks,1.31,93
Clearances,0.46,31
Aerials won,1.18,29
