Statistic,Per 90,Percentile
Non-Penalty Goals,0.52,80
npxG,0.42,72
Shots Total,3.06,82
Assists,0.08,29
xA,0.11,47
npxG+xA,0.53,67
Shot-Creating Actions,2.05,39
,,
Passes Attempted,21.57,36
Pass Completion %,72.9%,54
Progressive Passes,1.37,45
Progressive Carries,1.97,29
Dribbles Completed,0.36,5
Touches (Att Pen),6.11,77
Progressive Passes Rec,7.87,56
,,
Pressures,6.19,1
Tackles,0.44,20
Interceptions,0.16,7
Blocks,0.47,14
Clearances,0.60,47
Aerials won,0.96,22
